"","client_id","birth_number","district_id","gender"
"1",1,706213,18,"Female"
"2",2,450204,1,"Male"
"3",3,406009,1,"Female"
"4",4,561201,5,"Female"
"5",5,605703,5,"Female"
"6",6,190922,12,"Male"
"7",7,290125,15,"Male"
"8",8,385221,51,"Female"
"9",9,351016,60,"Male"
"10",10,430501,57,"Male"
"11",11,505822,57,"Female"
"12",12,810220,40,"Male"
"13",13,745529,54,"Female"
"14",14,425622,76,"Female"
"15",15,185828,21,"Female"
"16",16,190225,21,"Male"
"17",17,341013,76,"Male"
"18",18,315405,76,"Female"
"19",19,421228,47,"Female"
"20",20,790104,46,"Male"
"21",21,526029,12,"Female"
"22",22,696011,1,"Female"
"23",23,730529,1,"Male"
"24",24,395729,43,"Female"
"25",25,395423,21,"Female"
"26",26,695420,74,"Female"
"27",27,665326,54,"Female"
"28",28,450929,1,"Male"
"29",29,515911,30,"Female"
"30",30,576009,74,"Female"
"31",31,620209,68,"Male"
"32",32,800728,52,"Male"
"33",33,486204,73,"Female"
"34",36,785717,7,"Female"
"35",37,700810,7,"Male"
"36",38,735723,36,"Female"
"37",39,680125,68,"Male"
"38",40,575122,5,"Female"
"39",41,680827,22,"Male"
"40",42,350817,68,"Male"
"41",43,201028,75,"Male"
"42",44,775111,38,"Female"
"43",45,520826,20,"Male"
"44",46,405130,19,"Female"
"45",47,340714,76,"Male"
"46",48,400209,16,"Male"
"47",49,595511,72,"Female"
"48",50,785730,39,"Female"
"49",51,796202,36,"Female"
"50",52,241212,32,"Female"
"51",53,770505,64,"Male"
"52",55,485918,45,"Female"
"53",56,600331,21,"Male"
"54",57,616217,21,"Female"
"55",58,275429,1,"Female"
"56",59,570218,1,"Male"
"57",60,800219,67,"Male"
"58",61,485806,16,"Female"
"59",62,321208,77,"Female"
"60",63,590604,4,"Male"
"61",64,260422,20,"Male"
"62",65,435527,50,"Female"
"63",66,516110,1,"Female"
"64",67,326111,29,"Female"
"65",68,461214,43,"Female"
"66",70,251222,70,"Female"
"67",71,275206,70,"Female"
"68",72,230113,47,"Male"
"69",73,240220,22,"Male"
"70",74,255726,22,"Female"
"71",75,775919,64,"Female"
"72",76,676001,36,"Female"
"73",77,565218,1,"Female"
"74",78,445613,16,"Female"
"75",79,695310,37,"Female"
"76",80,795225,64,"Female"
"77",81,760429,8,"Male"
"78",82,796225,8,"Female"
"79",83,786225,1,"Female"
"80",84,790505,1,"Male"
"81",85,610827,1,"Male"
"82",86,695720,1,"Female"
"83",87,466117,72,"Female"
"84",89,515505,1,"Female"
"85",90,750817,52,"Male"
"86",91,400807,63,"Male"
"87",92,665612,74,"Female"
"88",93,250216,3,"Male"
"89",94,470909,43,"Male"
"90",95,525803,43,"Female"
"91",96,720229,74,"Male"
"92",97,651128,26,"Male"
"93",98,735504,33,"Female"
"94",99,730126,33,"Male"
"95",100,425811,44,"Female"
"96",101,430123,68,"Male"
"97",102,585910,74,"Female"
"98",103,550711,74,"Male"
"99",105,800526,31,"Male"
"100",106,686230,68,"Female"
"101",107,720623,1,"Male"
"102",108,630913,17,"Male"
"103",110,675413,2,"Female"
"104",112,350125,1,"Male"
"105",113,405815,1,"Female"
"106",114,695624,74,"Female"
"107",115,691224,74,"Female"
"108",116,420128,74,"Male"
"109",117,365920,74,"Female"
"110",118,220719,55,"Male"
"111",119,225228,55,"Female"
"112",120,760510,1,"Male"
"113",121,786029,41,"Female"
"114",122,636113,35,"Female"
"115",123,690212,11,"Male"
"116",124,670921,44,"Male"
"117",125,361031,37,"Male"
"118",126,295927,37,"Female"
"119",127,506227,21,"Female"
"120",128,735404,63,"Female"
"121",129,475531,64,"Female"
"122",130,420214,53,"Male"
"123",131,775131,53,"Female"
"124",132,530126,36,"Male"
"125",134,320118,6,"Male"
"126",135,385910,6,"Female"
"127",136,215126,55,"Female"
"128",137,230914,60,"Male"
"129",138,726021,54,"Female"
"130",139,595725,8,"Female"
"131",140,610606,8,"Male"
"132",141,251102,31,"Male"
"133",142,370621,68,"Male"
"134",143,780709,27,"Male"
"135",144,581206,65,"Female"
"136",145,780214,55,"Male"
"137",146,616219,31,"Female"
"138",147,336102,21,"Female"
"139",148,401225,21,"Female"
"140",149,480627,55,"Male"
"141",150,805927,2,"Female"
"142",151,715923,51,"Female"
"143",152,456202,29,"Female"
"144",153,815212,13,"Female"
"145",154,330827,74,"Male"
"146",155,395313,74,"Female"
"147",156,305722,54,"Female"
"148",157,435709,52,"Female"
"149",158,455703,40,"Female"
"150",159,380910,40,"Male"
"151",160,425426,64,"Female"
"152",161,436007,34,"Female"
"153",162,411017,65,"Male"
"154",163,330612,74,"Male"
"155",164,625404,70,"Female"
"156",165,681108,22,"Male"
"157",166,616022,22,"Female"
"158",167,785418,38,"Female"
"159",168,766105,24,"Female"
"160",169,530912,38,"Male"
"161",170,465616,38,"Female"
"162",171,290625,51,"Male"
"163",172,356005,51,"Female"
"164",173,186208,21,"Female"
"165",174,781110,10,"Male"
"166",175,600713,31,"Male"
"167",176,290311,4,"Male"
"168",178,601222,8,"Female"
"169",179,801229,43,"Female"
"170",180,820119,73,"Male"
"171",181,670706,76,"Male"
"172",182,595713,76,"Female"
"173",183,785319,1,"Female"
"174",184,720605,1,"Male"
"175",185,540530,77,"Male"
"176",186,615222,46,"Female"
"177",187,420823,58,"Male"
"178",188,600902,64,"Male"
"179",189,190810,11,"Male"
"180",190,476031,37,"Female"
"181",191,540903,37,"Male"
"182",192,710228,70,"Male"
"183",193,620501,1,"Male"
"184",194,246220,28,"Female"
"185",195,191118,74,"Male"
"186",196,275625,74,"Female"
"187",197,330425,30,"Male"
"188",198,760714,60,"Male"
"189",199,230621,29,"Male"
"190",200,285113,29,"Female"
"191",201,305819,17,"Female"
"192",202,766121,29,"Female"
"193",203,620610,31,"Male"
"194",204,675617,31,"Female"
"195",205,425615,4,"Female"
"196",206,635413,59,"Female"
"197",207,320520,46,"Male"
"198",208,405625,13,"Female"
"199",209,350820,13,"Male"
"200",210,391130,66,"Male"
"201",211,455628,66,"Female"
"202",212,750210,52,"Male"
