Id,Predicted
5895,0.012720
7122,0.552378
6173,0.031431
6142,0.092669
5358,0.168264
6095,0.012252
6878,0.142977
6554,0.176896
6793,0.055254
7286,0.069189
6076,0.032576
5134,0.315166
5419,0.712977
6255,0.471229
5656,0.024305
6934,0.422703
6028,0.029695
6490,0.033341
6415,0.455356
7087,0.027717
5420,0.251453
5977,0.043632
6824,0.060427
5207,0.077344
7115,0.134689
7250,0.071591
6010,0.048944
6088,0.314422
5682,0.049070
7201,0.049070
6938,0.106008
6875,0.077098
5953,0.123170
5942,0.004726
5382,0.013704
6377,0.016755
5931,0.580937
5992,0.013970
5790,0.135794
6753,0.263500
6562,0.068243
7046,0.533849
5784,0.366013
5868,0.050869
5878,0.022233
5110,0.032876
5210,0.072811
7230,0.099947
5005,0.061054
6871,0.273389
5363,0.781680
7253,0.058141
5072,0.190164
6055,0.688020
6913,0.010281
6386,0.009230
5634,0.025429
5758,0.730124
6819,0.342502
7088,0.024139
5039,0.029232
6037,0.004845
5532,0.081561
6322,0.070985
6887,0.035165
6660,0.022986
5451,0.029697
6014,0.015945
5556,0.381259
6346,0.089565
5850,0.051399
5940,0.030365
7119,0.212248
6851,0.739234
5253,0.284504
6695,0.255993
6908,0.144265
7255,0.033145
5674,0.197601
6278,0.071925
5486,0.103761
5174,0.018987
6621,0.022233
6313,0.078781
6435,0.098184
6970,0.021040
6310,0.079245
5932,0.279480
6877,0.039424
6763,0.423591
7085,0.339806
7049,0.018196
6959,0.132997
5214,0.020351
6350,0.098623
5063,0.932456
5041,0.029518
6942,0.014565
5086,0.025810
5270,0.070204
6705,0.036229
7051,0.195821
6758,0.114199
6249,0.116402
5808,0.035477
5377,0.022857
5446,0.025285
5856,0.104883
7001,0.047519
4986,0.298358
6677,0.086897
6665,0.009609
5817,0.446397
6984,0.041883
6541,0.015994
5117,0.069604
6097,0.013089
5389,0.318981
7219,0.013822
6338,0.080353
6922,0.100883
5367,0.100883
5638,0.290074
5830,0.027249
5338,0.302972
6007,0.068574
6612,0.434427
5718,0.007839
6104,0.083911
5229,0.064652
5963,0.102035
5206,0.040693
6625,0.635817
4990,0.024211
6641,0.116954
5369,0.140631
6196,0.083168
5236,0.048908
5719,0.110260
5643,0.139025
7050,0.133134
6355,0.033474
6688,0.018830
6239,0.302959
5531,0.065487
6113,0.016212
7181,0.123170
6118,0.008666
7264,0.079245
5343,0.025671
5051,0.051468
5779,0.042413
6605,0.063165
6655,0.246403
6534,0.126421
5681,0.132721
