Id,Predicted
6526,0.423334
5657,0.034787
7004,0.037569
5706,0.109883
5599,0.002855
5319,0.009211
6012,0.533040
6456,0.312361
6294,0.014932
5208,0.961084
6296,0.050709
6279,0.708478
5285,0.213505
6232,0.801384
5900,0.040471
6961,0.159347
5310,0.238855
6460,0.069957
7249,0.009576
6011,0.084045
6785,0.226668
5128,0.975437
7138,0.006393
6817,0.240492
6940,0.067897
6644,0.050679
4996,0.022863
6027,0.333820
6144,0.353826
5970,0.259016
7176,0.004856
5452,0.075168
6303,0.475736
6111,0.184403
7284,0.135328
5918,0.381480
6903,0.934030
5479,0.125998
7192,0.403130
6596,0.036814
5375,0.775542
6499,0.075007
5876,0.023682
6019,0.020145
6228,0.475961
6659,0.121873
5045,0.615803
6725,0.006407
5161,0.069055
6306,0.498065
6820,0.433459
7241,0.510020
6668,0.026573
6734,0.015905
6808,0.122107
6362,0.035837
7227,0.072661
5837,0.063604
6841,0.119446
6015,0.248189
6950,0.016382
5593,0.661447
5126,0.168394
5002,0.067700
5350,0.078813
6043,0.261817
5316,0.350977
5329,0.013257
7235,0.285349
5999,0.064397
6297,0.020329
6244,0.493765
7194,0.047523
5610,0.037783
6185,0.032141
6687,0.704175
6577,0.125030
6836,0.040670
6509,0.511091
6315,0.020283
5724,0.360907
6216,0.027817
5388,0.158383
5568,0.706752
6929,0.005345
5740,0.169078
6704,0.106993
6694,0.869896
5882,0.595824
6545,0.229018
6120,0.024821
5390,0.127971
6986,0.759209
5032,0.019306
7130,0.562339
6004,0.091713
5591,0.086216
6006,0.129218
7304,0.713161
