Id,Predicted
5895,0.003523
7122,0.843746
6173,0.094508
6142,0.021111
5358,0.355175
6095,0.002667
6878,0.090556
6554,0.125078
6793,0.117429
7286,0.131444
6076,0.023523
5134,0.069222
5419,0.632984
6255,0.278889
5656,0.017778
6934,0.390333
6028,0.013889
6490,0.144222
6415,0.247397
7087,0.012111
5420,0.140333
5977,0.100967
6824,0.476667
5207,0.084889
7115,0.323651
7250,0.044302
6010,0.106841
6088,0.198634
5682,0.082778
7201,0.082778
6938,0.045556
6875,0.123286
5953,0.133941
5942,0.022222
5382,0.023856
6377,0.022190
5931,0.447206
5992,0.007778
5790,0.175778
6753,0.143278
6562,0.104523
7046,0.528095
5784,0.185889
5868,0.155593
5878,0.032063
5110,0.084333
5210,0.075022
7230,0.055078
5005,0.052111
6871,0.126745
5363,0.808333
7253,0.072084
5072,0.125115
6055,0.415778
6913,0.074856
6386,0.012190
5634,0.044429
5758,0.691095
6819,0.299556
7088,0.022856
5039,0.089286
6037,0.032556
5532,0.064286
6322,0.036333
6887,0.074667
6660,0.059259
5451,0.028967
6014,0.006745
5556,0.518397
6346,0.120523
5850,0.093212
5940,0.011111
7119,0.103333
6851,0.781968
5253,0.465778
6695,0.225722
6908,0.290619
7255,0.070967
5674,0.125942
6278,0.159032
5486,0.087302
5174,0.071560
6621,0.061856
6313,0.030333
6435,0.064634
6970,0.060619
6310,0.165856
5932,0.192778
6877,0.081667
6763,0.306984
7085,0.629619
7049,0.017222
6959,0.522556
5214,0.071053
6350,0.098269
5063,0.740111
5041,0.008434
6942,0.005444
5086,0.048667
5270,0.075222
6705,0.050190
7051,0.137634
6758,0.191444
6249,0.133078
5808,0.006078
5377,0.035333
5446,0.062889
5856,0.523333
7001,0.038190
4986,0.043889
6677,0.256222
6665,0.019111
5817,0.824889
6984,0.099778
6541,0.001667
5117,0.027301
6097,0.043000
5389,0.085967
7219,0.003856
6338,0.180206
6922,0.073523
5367,0.093523
5638,0.357556
5830,0.054190
5338,0.608444
6007,0.004444
6612,0.380444
5718,0.020190
6104,0.016967
5229,0.104967
5963,0.146967
5206,0.067333
6625,0.245412
4990,0.000000
6641,0.073111
5369,0.168751
6196,0.008889
5236,0.083338
5719,0.085301
5643,0.255778
7050,0.045222
6355,0.027856
6688,0.075556
6239,0.173111
5531,0.056190
6113,0.019444
7181,0.285926
6118,0.041556
7264,0.092212
5343,0.062745
5051,0.042333
5779,0.171317
6605,0.057301
6655,0.083413
6534,0.118412
5681,0.050286
6607,0.038889
6242,0.246667
7242,0.048831
7277,0.096523
6675,0.018831
5398,0.139190
5956,0.068667
5731,0.471556
6437,0.445778
6956,0.045523
5447,0.775079
5973,0.165556
6075,0.480556
5281,0.178968
5103,0.074841
6468,0.013967
7209,0.656540
5584,0.029111
4988,0.527778
4962,0.029444
5651,0.022190
6502,0.037778
5862,0.007000
7199,0.033778
6727,0.289730
7279,0.016111
6544,0.032222
5933,0.051778
6574,0.053634
6399,0.018222
7187,0.058794
6353,0.047079
5043,0.070582
5469,0.572206
5976,0.407302
6059,0.080498
5799,0.034730
6147,0.258333
6254,0.144746
7100,0.159111
7147,0.610873
7037,0.032301
5909,0.051000
5782,0.317889
6237,0.763540
6552,0.002222
7067,0.023412
5320,0.166053
5930,0.150967
6486,0.143856
5245,0.042111
6643,0.009190
5260,0.011111
5569,0.220222
7110,0.289984
7139,0.007111
6791,0.147856
5360,0.031286
5287,0.167238
6553,0.014444
7072,0.003778
6044,0.008000
5332,0.050269
6866,0.132778
6633,0.181841
6926,0.040889
6442,0.028889
5889,0.061269
5765,0.225730
5124,0.009942
5491,0.550175
6730,0.087671
7151,0.050952
5140,0.144556
7171,0.076481
6568,0.044778
6861,0.082301
6855,0.114175
7129,0.061856
5384,0.066745
6859,0.115952
5772,0.063412
5665,0.000952
6495,0.048078
5061,0.089778
6948,0.433333
5773,0.408778
6052,0.135730
6682,0.759778
6083,0.535651
6962,0.225657
5158,0.163778
6464,0.026889
5172,0.088412
5582,0.104164
6508,0.126286
4968,0.129619
6136,0.348984
6235,0.014269
6632,0.026667
7195,0.120967
5525,0.149317
6320,0.075000
6766,0.069967
6872,0.285634
5906,0.089222
7172,0.014523
6571,0.047952
5616,0.085556
6470,0.044444
6312,0.055444
5147,0.349000
5501,0.024301
6436,0.224148
5699,0.132063
5313,0.009889
6234,0.026078
6569,0.023412
7202,0.098984
5683,0.113429
5034,0.006667
5435,0.042911
5815,0.034444
5589,0.324222
6746,0.200412
6790,0.049634
6857,0.012523
6450,0.076745
7221,0.360429
5527,0.050498
5620,0.058078
7167,0.009338
6215,0.018856
5823,0.048412
6207,0.014190
6932,0.058165
5669,0.075778
5154,0.079000
7168,0.027417
5585,0.114889
6539,0.016222
7200,0.051000
5015,0.091667
5042,0.098078
5774,0.244206
6357,0.023778
5354,0.080063
6054,0.285254
7295,0.045078
5365,0.499619
6755,0.128523
5991,0.732778
7035,0.000078
5893,0.100831
7164,0.031190
5304,0.006667
5561,0.021667
5520,0.032889
5241,0.271333
7096,0.053078
6078,0.005926
5046,0.150508
5334,0.085078
6969,0.006778
6821,0.056745
5760,0.032412
5614,0.055079
7091,0.131667
5698,0.010000
5169,0.083508
7294,0.027745
5318,0.514778
5368,0.025444
6923,0.025444
5463,0.042222
5265,0.217879
6321,0.211778
5226,0.469540
6868,0.283778
4967,0.620190
5293,0.023333
5865,0.016111
5841,0.037667
5526,0.006856
6852,0.016967
6469,0.020387
6168,0.003412
7292,0.067111
5036,0.235984
5644,0.160370
6856,0.414619
5428,0.080634
5027,0.028000
4989,0.155634
5221,0.036110
6402,0.027911
5346,0.120222
6748,0.146968
