Id,Predicted
5895,0.064784
7122,0.483406
6173,0.110783
6142,0.072526
5358,0.135234
6095,0.050570
6878,0.132709
6554,0.137543
6793,0.260938
7286,0.154401
6076,0.141766
5134,0.185722
5419,0.182428
6255,0.252046
5656,0.134015
6934,0.297964
6028,0.088866
6490,0.070275
6415,0.160853
7087,0.100246
5420,0.205361
5977,0.000489
6824,0.988676
5207,0.084840
7115,0.122296
7250,0.051890
6010,0.073205
6088,0.148813
5682,0.076960
7201,0.070275
6938,0.099819
6875,0.074388
5953,0.029231
5942,0.000000
5382,0.099621
6377,0.092160
5931,0.143801
5992,0.089806
5790,0.076203
6753,0.136302
6562,0.069806
7046,0.353148
5784,0.102676
5868,0.078831
5878,0.151831
5110,0.085203
5210,0.099876
7230,0.098517
5005,0.132174
6871,0.107903
5363,0.822811
7253,0.186764
5072,0.122432
6055,0.240953
6913,0.046407
6386,0.104283
5634,0.173672
5758,0.376864
6819,0.039590
7088,0.142291
5039,0.157208
6037,0.069044
5532,0.178395
6322,0.052459
6887,0.099671
6660,0.126442
5451,0.076378
6014,0.160473
5556,0.222472
6346,0.038676
5850,0.077995
5940,0.091868
7119,0.158697
6851,0.335947
5253,0.161176
6695,0.085061
6908,0.100459
7255,0.095825
5674,0.180123
6278,0.140367
5486,0.175391
5174,0.080787
6621,0.066099
6313,0.152859
6435,0.057945
6970,0.066190
6310,0.027228
5932,0.123870
6877,0.043333
6763,0.121700
7085,0.312408
7049,0.204875
6959,0.925844
5214,0.119264
6350,0.036702
5063,0.263099
5041,0.072900
6942,0.098835
5086,0.103126
5270,0.137943
6705,0.067913
7051,0.096984
6758,0.098561
6249,0.190062
5808,0.067367
5377,0.128520
5446,0.102848
5856,0.657192
7001,0.078148
4986,0.111168
6677,0.115007
6665,0.097353
5817,0.669944
6984,0.080059
6541,0.165479
5117,0.135113
6097,0.116643
5389,0.062015
7219,0.057679
6338,0.162285
6922,0.116368
5367,0.115128
5638,0.106125
5830,0.137421
5338,0.983902
6007,0.121871
6612,0.337481
5718,0.088242
6104,0.190738
5229,0.161167
5963,0.058582
5206,0.220898
6625,0.272468
4990,0.065964
6641,0.082311
5369,0.051735
6196,0.120740
5236,0.067131
5719,0.038183
5643,0.242360
7050,0.122333
6355,0.111407
6688,0.119094
6239,0.287695
5531,0.087507
6113,0.078262
7181,0.105476
6118,0.114479
7264,0.110835
5343,0.046160
5051,0.000000
5779,0.068823
6605,0.137380
6655,0.212213
