Id,Predicted
5895,0.012170
7122,0.566436
6173,0.043743
6142,0.089352
5358,0.178657
6095,0.010950
6878,0.112559
6554,0.196279
6793,0.068034
7286,0.070176
6076,0.032942
5134,0.306998
5419,0.721139
6255,0.512226
5656,0.024541
6934,0.471821
6028,0.030006
6490,0.046482
6415,0.465568
7087,0.028089
5420,0.207834
5977,0.039052
6824,0.072152
5207,0.075018
7115,0.129065
7250,0.058197
6010,0.055820
6088,0.319096
5682,0.049348
7201,0.049348
6938,0.121048
6875,0.087377
5953,0.148317
5942,0.007079
5382,0.012513
6377,0.016349
5931,0.558330
5992,0.014505
5790,0.126877
6753,0.256596
6562,0.050737
7046,0.558977
5784,0.363060
5868,0.050535
5878,0.023180
5110,0.030968
5210,0.073306
7230,0.101781
5005,0.047968
6871,0.271540
5363,0.781314
7253,0.051006
5072,0.188420
6055,0.709112
6913,0.014140
6386,0.011049
5634,0.027978
5758,0.730107
6819,0.335854
7088,0.027606
5039,0.037069
6037,0.005932
5532,0.096844
6322,0.062591
6887,0.036631
6660,0.028371
5451,0.026562
6014,0.016736
5556,0.371444
6346,0.073497
5850,0.053771
5940,0.035618
7119,0.220016
6851,0.755456
5253,0.304725
6695,0.281195
6908,0.144314
7255,0.034542
5674,0.147333
6278,0.058967
5486,0.093440
5174,0.018472
6621,0.023180
6313,0.076821
6435,0.121593
6970,0.023158
6310,0.066146
5932,0.262502
6877,0.043637
6763,0.417382
7085,0.357767
7049,0.018889
6959,0.126078
5214,0.023528
6350,0.080813
5063,0.929819
5041,0.032660
6942,0.014009
5086,0.026500
5270,0.064338
6705,0.037286
7051,0.144571
6758,0.128421
6249,0.127739
5808,0.026361
5377,0.021999
5446,0.025074
5856,0.105738
7001,0.042587
4986,0.285109
6677,0.133526
6665,0.013038
5817,0.499136
6984,0.042496
6541,0.015400
5117,0.044619
6097,0.015293
5389,0.313683
7219,0.012552
6338,0.063652
6922,0.111057
5367,0.111057
5638,0.293461
5830,0.026238
5338,0.343974
6007,0.077706
6612,0.492311
5718,0.011653
6104,0.068265
5229,0.075620
5963,0.099386
5206,0.042152
6625,0.634942
4990,0.021999
6641,0.112039
5369,0.195037
6196,0.076821
5236,0.046222
5719,0.096163
5643,0.167251
7050,0.143321
6355,0.029746
6688,0.018149
6239,0.307944
5531,0.064081
6113,0.014912
7181,0.148317
6118,0.011817
7264,0.066146
5343,0.023306
5051,0.062475
5779,0.043236
6605,0.069512
6655,0.254837
6534,0.112215
5681,0.111996
6607,0.025162
6242,0.118434
7242,0.031709
7277,0.018136
6675,0.022285
5398,0.080667
5956,0.022484
5731,0.684857
6437,0.195411
6956,0.069930
5447,0.392993
5973,0.238398
6075,0.060379
5281,0.033024
5103,0.016448
6468,0.028067
7209,0.915242
5584,0.006082
4988,0.751026
4962,0.025838
5651,0.022544
6502,0.025838
5862,0.013370
7199,0.030291
6727,0.210957
7279,0.051877
6544,0.034889
5933,0.067466
6574,0.052623
6399,0.010604
7187,0.015142
6353,0.088820
5043,0.022820
5469,0.649358
5976,0.541966
6059,0.053734
5799,0.090841
6147,0.457298
6254,0.449847
7100,0.055583
7147,0.716632
7037,0.025459
5909,0.020848
5782,0.150218
6237,0.633490
6552,0.026559
7067,0.023883
5320,0.248952
5930,0.035694
6486,0.096412
5245,0.094210
6643,0.011609
5260,0.083159
5569,0.182026
7110,0.103413
7139,0.038449
6791,0.113161
5360,0.015272
5287,0.068989
6553,0.033736
7072,0.021999
6044,0.026559
5332,0.033831
6866,0.030762
6633,0.034963
6926,0.018889
6442,0.026859
5889,0.091453
5765,0.192901
5124,0.022541
5491,0.620742
6730,0.052080
7151,0.028055
5140,0.194519
7171,0.016158
6568,0.037122
6861,0.122406
6855,0.017763
7129,0.098524
5384,0.039591
6859,0.063828
5772,0.068252
5665,0.037653
6495,0.037725
5061,0.028089
6948,0.326531
5773,0.653714
6052,0.091433
6682,0.817962
6083,0.508838
6962,0.493083
5158,0.300567
6464,0.094042
5172,0.039440
5582,0.018486
6508,0.030320
4968,0.027214
6136,0.111822
6235,0.010042
6632,0.026476
7195,0.128983
5525,0.102846
6320,0.078113
6766,0.013838
6872,0.275496
5906,0.025113
7172,0.016736
6571,0.021330
5616,0.031220
6470,0.018586
6312,0.028546
5147,0.124155
5501,0.025919
6436,0.230446
5699,0.033024
5313,0.026559
6234,0.012586
6569,0.050535
7202,0.099799
5683,0.110250
5034,0.020306
5435,0.094713
5815,0.027098
5589,0.257263
6746,0.147271
6790,0.026945
6857,0.005932
6450,0.021092
7221,0.419737
5527,0.068811
5620,0.156371
7167,0.025570
6215,0.028821
5823,0.011713
6207,0.013381
6932,0.025432
5669,0.064338
5154,0.130552
7168,0.051299
5585,0.230835
6539,0.012322
7200,0.028199
5015,0.029525
5042,0.096234
5774,0.296486
6357,0.014577
5354,0.036163
6054,0.207189
7295,0.106279
5365,0.420201
6755,0.087351
5991,0.723591
7035,0.016638
5893,0.020198
7164,0.052524
5304,0.017114
5561,0.071289
5520,0.009472
5241,0.335011
7096,0.045698
6078,0.014505
5046,0.155218
5334,0.023306
6969,0.013705
6821,0.018873
5760,0.029629
5614,0.050233
7091,0.101970
5698,0.031709
5169,0.017850
7294,0.033793
5318,0.655036
5368,0.066248
6923,0.066248
5463,0.032609
5265,0.110303
6321,0.220701
5226,0.275148
6868,0.142758
4967,0.745734
5293,0.016734
5865,0.041522
5841,0.019625
5526,0.013370
6852,0.014009
6469,0.021549
6168,0.031267
7292,0.031603
5036,0.253350
5644,0.022850
6856,0.820569
5428,0.081193
