Id,Predicted
5895,0.055770
7122,0.673464
6173,0.112885
6142,0.062679
5358,0.148354
6095,0.036980
6878,0.144595
6554,0.151808
6793,0.351528
7286,0.177481
6076,0.158166
5134,0.226845
5419,0.221574
6255,0.337783
5656,0.146536
6934,0.409374
6028,0.083191
6490,0.059978
6415,0.187495
7087,0.098327
5420,0.258529
5977,0.000060
6824,0.999997
5207,0.077996
7115,0.129318
7250,0.038334
6010,0.063500
6088,0.168887
5682,0.068089
7201,0.059979
6938,0.097749
6875,0.064936
5953,0.017245
5942,0.000000
5382,0.097481
6377,0.087505
5931,0.161249
5992,0.084416
5790,0.067157
6753,0.149949
6562,0.059421
7046,0.491472
5784,0.101641
5868,0.070409
5878,0.173519
5110,0.078461
5210,0.097826
7230,0.095988
5005,0.143801
6871,0.108859
5363,0.949667
7253,0.228514
5072,0.129514
6055,0.316582
6913,0.032804
6386,0.103847
5634,0.207645
5758,0.528368
6819,0.026291
7088,0.158961
5039,0.181827
6037,0.061118
5532,0.215144
6322,0.038921
6887,0.097549
6660,0.135356
5451,0.067372
6014,0.186902
5556,0.286387
6346,0.025450
5850,0.069370
5940,0.087121
7119,0.184138
6851,0.463700
5253,0.187998
6695,0.078278
6908,0.098617
7255,0.092371
5674,0.217897
6278,0.156054
5486,0.210369
5174,0.072855
6621,0.057405
6313,0.175103
6435,0.044720
6970,0.057518
6310,0.015627
5932,0.131602
6877,0.029815
6763,0.128454
7085,0.432027
7049,0.257741
6959,0.986625
5214,0.124941
6350,0.023661
5063,0.354878
5041,0.063130
6942,0.096417
5086,0.102258
5270,0.152408
6705,0.059683
7051,0.093924
6758,0.096046
6249,0.233809
5808,0.058995
5377,0.138405
5446,0.101877
5856,0.847553
7001,0.069560
4986,0.113427
6677,0.118855
6665,0.094420
5817,0.857496
6984,0.071942
6541,0.194730
5117,0.148174
6097,0.121184
5389,0.052373
7219,0.044433
6338,0.189730
6922,0.120792
5367,0.119027
5638,0.106390
5830,0.151625
5338,0.999993
6007,0.128702
6612,0.466207
5718,0.082380
6104,0.234897
5229,0.187985
5963,0.045408
5206,0.283818
6625,0.369449
4990,0.057236
6641,0.074777
5369,0.038173
6196,0.127066
5236,0.058698
5719,0.024999
5643,0.318881
7050,0.129371
6355,0.113762
6688,0.124696
6239,0.393262
5531,0.081427
6113,0.069701
7181,0.105493
6118,0.118104
7264,0.112959
5343,0.032561
5051,0.000000
5779,0.060836
6605,0.151563
6655,0.269665
6534,0.343239
5681,0.085850
6607,0.167186
6242,0.053907
7242,0.090965
7277,0.061867
6675,0.029748
5398,0.151767
5956,0.157367
5731,0.298817
6437,0.141524
6956,0.158801
5447,1.000000
5973,0.077849
6075,1.000000
5281,0.228000
5103,0.083060
6468,0.081098
7209,0.278893
5584,0.041047
4988,0.473530
4962,0.107260
5651,0.078352
6502,0.116785
5862,0.082804
7199,0.059509
6727,0.033914
7279,0.263308
6544,0.070872
5933,0.039083
6574,0.125188
6399,0.090243
7187,0.009852
6353,0.165177
5043,0.051262
5469,0.307515
5976,0.244403
6059,0.358225
5799,0.077665
6147,0.000000
6254,0.174469
7100,0.185270
7147,0.410412
7037,0.118549
5909,0.113117
5782,0.197636
6237,0.890545
6552,0.052641
7067,0.109085
5320,0.167644
5930,0.028910
6486,0.182330
5245,0.192055
6643,0.026061
5260,0.079627
5569,0.348035
7110,0.105525
7139,0.072950
6791,0.344024
5360,0.178859
5287,0.099367
6553,0.195936
7072,0.062950
6044,0.023384
5332,0.030114
6866,0.210900
6633,0.021181
6926,0.081290
6442,0.113039
5889,0.088406
5765,0.024343
5124,0.129464
5491,0.230166
6730,0.127253
7151,0.197444
5140,0.120885
7171,0.062080
6568,0.137770
6861,0.072420
6855,0.084473
7129,0.140796
5384,0.087493
6859,0.136134
5772,0.069812
5665,0.048398
6495,0.157285
5061,0.086633
6948,0.128412
5773,0.282199
6052,0.000122
6682,0.483311
6083,0.192705
6962,0.333962
5158,0.341198
6464,0.085620
5172,0.197196
5582,0.024164
6508,0.000000
4968,0.000000
6136,0.114933
6235,0.075056
6632,0.166575
7195,0.179603
5525,0.113690
6320,0.281747
6766,0.031364
6872,0.150219
5906,0.059446
7172,0.104333
6571,0.090629
5616,0.171273
6470,0.075942
6312,0.106709
5147,0.064902
5501,0.171536
6436,0.211572
5699,0.104763
5313,0.108430
6234,0.028757
6569,0.050506
7202,0.145766
5683,0.187208
5034,0.083270
5435,0.135285
5815,0.050171
5589,0.396694
6746,0.209907
6790,0.107589
6857,0.026619
6450,0.033097
7221,0.189996
5527,0.187323
5620,0.017638
7167,0.119101
6215,0.028018
5823,0.084305
6207,0.061003
6932,0.013289
5669,0.077240
5154,0.080049
7168,0.186037
5585,0.281030
6539,0.062267
7200,0.086490
5015,0.066169
5042,0.151274
5774,0.072172
6357,0.077699
5354,0.058329
6054,0.067830
7295,0.137331
5365,0.194550
6755,0.181859
5991,0.999999
7035,0.210145
5893,0.234086
7164,0.108775
5304,0.112378
5561,0.102104
5520,0.135336
5241,0.230478
7096,0.062250
6078,0.056697
5046,0.115596
5334,0.136851
6969,0.042285
6821,0.099992
5760,0.106340
5614,0.052535
7091,0.059257
5698,0.076642
5169,0.062916
7294,0.049507
5318,0.483392
5368,0.133589
6923,0.137246
5463,0.119047
5265,0.169634
6321,0.015641
5226,0.345621
6868,0.076465
4967,0.653942
5293,0.103428
5865,0.046775
5841,0.140623
5526,0.062716
6852,0.082682
6469,0.032956
6168,0.210641
7292,0.097375
5036,0.077572
5644,0.054211
6856,0.169286
5428,0.108802
5027,0.080470
4989,0.146602
5221,0.075655
6402,0.060277
5346,0.099539
6748,0.171945
