Id,Predicted
5895,0.992783
7122,0.069995
6173,0.987051
6142,0.791660
5358,0.409896
6095,0.996089
6878,0.880690
6554,0.723666
6793,0.721094
7286,0.811001
6076,0.925807
5134,0.746032
5419,0.173150
6255,0.630601
5656,0.963016
6934,0.521325
6028,0.964604
6490,0.867044
6415,0.812919
7087,0.955979
5420,0.450425
5977,0.968834
6824,0.383459
5207,0.674420
7115,0.773959
7250,0.982734
6010,0.956300
6088,0.378738
5682,0.986168
7201,0.988210
6938,0.834416
6875,0.983982
5953,0.954651
5942,0.996798
5382,0.995648
6377,0.992767
5931,0.464812
5992,0.971451
5790,0.923140
6753,0.861287
6562,0.715636
7046,0.207909
5784,0.490737
5868,0.994943
5878,0.952923
5110,0.938636
5210,0.922679
7230,0.837019
5005,0.749876
6871,0.184146
5363,0.043572
7253,0.970735
5072,0.981194
6055,0.445004
6913,0.988749
6386,0.990897
5634,0.988948
5758,0.144580
6819,0.642435
7088,0.888723
5039,0.916392
6037,0.996903
5532,0.954881
6322,0.947730
6887,0.935233
6660,0.986299
5451,0.926443
6014,0.981580
5556,0.578119
6346,0.893980
5850,0.933926
5940,0.990325
7119,0.961524
6851,0.030956
5253,0.563408
6695,0.838810
6908,0.535952
7255,0.882771
5674,0.328329
6278,0.648641
5486,0.961560
5174,0.986547
6621,0.970088
6313,0.940657
6435,0.975573
6970,0.938769
6310,0.965099
5932,0.448774
6877,0.904306
6763,0.689487
7085,0.430125
7049,0.982715
6959,0.190833
5214,0.935900
6350,0.973674
5063,0.052098
5041,0.987876
6942,0.990326
5086,0.970854
5270,0.938610
6705,0.950216
7051,0.740011
6758,0.522526
6249,0.746508
5808,0.970070
5377,0.939631
5446,0.866438
5856,0.235229
7001,0.954431
4986,0.709360
6677,0.876513
6665,0.992437
5817,0.149998
6984,0.951403
6541,0.982246
5117,0.951140
6097,0.996194
5389,0.638267
7219,0.944950
6338,0.779638
6922,0.918454
5367,0.936303
5638,0.532003
5830,0.981794
5338,0.130583
6007,0.990774
6612,0.231659
5718,0.995940
6104,0.757625
5229,0.939222
5963,0.914581
5206,0.891937
6625,0.134595
4990,0.955086
6641,0.851121
5369,0.939651
6196,0.934173
5236,0.988670
5719,0.822275
5643,0.971642
7050,0.967355
6355,0.531540
6688,0.937650
6239,0.457974
5531,0.972480
6113,0.979263
7181,0.946118
6118,0.967937
7264,0.978741
5343,0.958444
5051,0.827123
5779,0.786852
6605,0.714331
6655,0.771306
6534,0.851060
5681,0.581072
6607,0.954022
6242,0.873148
7242,0.691407
7277,0.985203
6675,0.950059
5398,0.913674
5956,0.924788
5731,0.321833
6437,0.486317
6956,0.765594
5447,0.275836
5973,0.849441
6075,0.806691
5281,0.976140
5103,0.995438
6468,0.961671
7209,0.065460
5584,0.997403
4988,0.036262
4962,0.958962
5651,0.927637
6502,0.958962
5862,0.996968
7199,0.953700
6727,0.557163
7279,0.859131
6544,0.940204
5933,0.977053
6574,0.882943
6399,0.994933
7187,0.994638
6353,0.979841
5043,0.963096
5469,0.538405
