Id,Predicted
5895,0.948701
7122,0.140367
6173,0.900000
6142,0.889722
5358,0.700582
6095,0.990000
6878,0.551938
6554,0.687552
6793,0.609029
7286,0.859722
6076,0.853790
5134,0.776756
5419,0.482220
6255,0.387215
5656,0.960000
6934,0.449950
6028,0.956000
6490,0.700000
6415,0.781282
7087,0.929892
5420,0.748511
5977,0.850148
6824,0.420000
5207,0.910000
7115,0.750582
7250,0.911000
6010,0.831042
6088,0.410722
5682,0.901111
7201,0.921111
6938,0.832780
6875,0.839892
5953,0.860000
5942,1.000000
5382,0.938701
6377,0.957500
5931,0.366921
5992,0.950000
5790,0.681673
6753,0.776914
6562,0.827500
7046,0.294790
5784,0.733220
5868,0.910000
5878,0.970000
5110,0.888940
5210,0.888611
7230,0.815468
5005,0.824583
6871,0.614808
5363,0.092049
7253,0.949722
5072,0.901667
6055,0.531360
6913,0.879231
6386,0.990000
5634,0.930000
5758,0.347034
6819,0.810000
7088,0.960139
5039,0.779753
6037,0.930000
5532,0.850000
6322,0.881000
6887,0.841000
6660,0.862818
5451,0.894264
6014,0.990000
5556,0.630367
6346,0.829656
5850,0.761529
5940,0.950000
7119,0.928611
6851,0.102510
5253,0.526295
6695,0.810079
6908,0.688571
7255,0.578927
5674,0.483591
6278,0.629042
5486,0.641458
5174,0.900000
6621,0.814935
6313,0.775474
6435,0.830000
6970,0.838780
6310,0.810513
5932,0.521671
6877,0.800000
6763,0.634365
7085,0.590423
7049,0.920000
6959,0.290247
5214,0.910000
6350,0.950000
5063,0.193695
5041,0.940000
6942,0.918701
5086,0.982727
5270,0.822033
6705,0.871538
7051,0.690513
6758,0.460270
6249,0.518508
5808,0.970000
5377,0.932727
5446,0.848503
5856,0.301538
7001,0.940000
4986,0.712838
6677,0.739229
6665,0.918701
5817,0.220367
6984,0.920000
6541,0.960000
5117,0.930000
6097,0.990000
5389,0.690464
7219,0.830480
6338,0.737500
6922,0.818889
5367,0.818889
5638,0.680367
5830,0.890000
5338,0.322143
6007,0.927111
6612,0.511673
5718,0.937481
6104,0.831491
5229,0.881875
5963,0.771282
5206,0.770000
6625,0.446649
4990,0.952727
6641,0.771499
5369,0.801000
6196,0.730215
5236,0.950000
5719,0.765513
5643,0.800000
7050,0.853571
6355,0.754614
6688,0.776600
6239,0.492328
5531,0.970000
6113,0.890000
7181,0.700897
6118,0.813571
7264,0.880513
5343,0.905000
5051,0.890000
5779,0.717250
6605,0.634106
6655,0.771617
6534,0.792143
5681,0.668406
6607,0.854364
6242,0.850159
7242,0.770432
7277,0.890000
6675,0.940000
5398,0.687787
5956,0.926000
5731,0.458768
6437,0.620861
6956,0.647470
5447,0.290000
5973,0.810000
6075,0.360247
5281,0.850046
5103,0.928364
6468,0.931731
7209,0.371478
5584,0.959583
4988,0.252028
4962,0.950000
5651,0.899116
6502,0.921250
5862,0.990000
7199,0.850000
6727,0.540000
7279,0.855538
6544,0.944423
5933,0.940000
6574,0.808559
6399,0.937898
7187,0.970000
6353,0.928889
5043,0.880000
5469,0.472220
5976,0.480367
6059,0.627042
5799,0.871111
6147,0.503984
6254,0.700790
7100,0.824892
7147,0.600423
7037,0.940000
5909,0.970000
5782,0.470079
6237,0.239233
6552,0.982727
7067,0.871694
5320,0.830367
5930,0.799448
6486,0.859722
5245,0.706727
6643,0.950000
5260,0.914174
5569,0.517378
7110,0.810112
7139,0.930000
6791,0.672374
5360,0.980000
5287,0.701526
6553,0.860790
7072,0.970227
6044,0.932727
5332,0.940000
6866,0.825030
6633,0.846780
6926,0.960000
6442,0.880000
5889,0.903000
5765,0.820000
5124,0.818818
5491,0.532510
6730,0.866000
7151,0.893566
5140,0.650748
7171,0.911000
6568,0.895000
6861,0.815912
6855,0.786358
7129,0.735381
5384,0.798260
6859,0.635858
5772,0.921111
5665,0.950417
6495,0.862008
5061,0.887014
6948,0.184081
5773,0.461419
6052,0.819882
6682,0.350000
6083,0.730000
6962,0.463870
5158,0.800139
6464,0.710000
5172,0.790090
5582,0.950000
6508,0.825655
4968,0.818989
6136,0.672151
6235,0.990000
6632,0.765345
