Id,Predicted
5895,0.860790
7122,0.098045
6173,0.966628
6142,0.831267
5358,0.351838
6095,0.912507
6878,0.716334
6554,0.995632
6793,0.090463
7286,0.294662
6076,0.322136
5134,0.366230
5419,0.353356
6255,0.455011
5656,0.414802
6934,0.160093
6028,0.922360
6490,0.133045
6415,1.000000
7087,0.810927
5420,0.240779
5977,0.379648
6824,0.987816
5207,0.187449
7115,0.151207
7250,0.883232
6010,0.993367
6088,0.553936
5682,0.940510
7201,0.958118
6938,0.964661
6875,0.702321
5953,0.999991
5942,0.693510
5382,0.837502
6377,0.954594
5931,0.085368
5992,0.982750
5790,0.537865
6753,0.847914
6562,0.999998
7046,0.113206
5784,0.068771
5868,0.992761
5878,0.452707
5110,0.517869
5210,0.302047
7230,0.844781
5005,0.764071
6871,0.500000
5363,0.381351
7253,0.953360
5072,0.948124
6055,0.946978
6913,0.909703
6386,0.954345
5634,0.800242
5758,0.083875
6819,0.959499
7088,0.478339
5039,0.086765
6037,0.624089
5532,0.989022
6322,0.638943
6887,0.278258
6660,0.984112
5451,0.923278
6014,0.777882
5556,0.511252
6346,0.999998
5850,0.995053
5940,0.873930
7119,0.828449
6851,0.225630
5253,0.399407
6695,0.986508
6908,0.983397
7255,0.708779
5674,0.554375
6278,0.515368
5486,0.999992
5174,0.994397
6621,0.794411
6313,0.510285
6435,1.000000
6970,0.555276
6310,0.972751
5932,0.663111
6877,0.990916
6763,0.889486
7085,0.500000
7049,0.923939
6959,0.695221
5214,0.452551
6350,1.000000
5063,0.296971
5041,1.000000
6942,0.710794
5086,0.924947
5270,0.719207
6705,1.000000
7051,0.999996
6758,0.785339
6249,0.056630
5808,0.283162
5377,0.928050
5446,0.728721
5856,0.575442
7001,0.999990
4986,0.191923
6677,0.133218
6665,0.580900
5817,0.076071
6984,0.126135
6541,0.404889
5117,0.999999
6097,0.775104
5389,0.944727
7219,0.737384
6338,0.997283
6922,0.137840
5367,0.139908
5638,0.041191
5830,0.997433
5338,0.286414
6007,0.999986
6612,0.634484
5718,0.893371
6104,0.592597
5229,0.468372
5963,0.992969
5206,0.835695
6625,0.816623
4990,0.948401
6641,0.837185
5369,0.999981
6196,0.442661
5236,1.000000
5719,0.517450
5643,0.892687
7050,0.947162
6355,0.608479
6688,0.710927
6239,0.154971
5531,0.212836
6113,0.372157
7181,0.404342
6118,0.997034
7264,1.000000
5343,0.978444
5051,0.994192
5779,0.965823
6605,0.434935
6655,0.677882
6534,0.995738
5681,0.733287
6607,0.352642
6242,0.747274
7242,0.574526
7277,0.839506
6675,0.999999
5398,0.245678
5956,0.432288
5731,0.858672
6437,0.586807
6956,0.419257
5447,0.977992
5973,0.997424
6075,0.981193
5281,0.221365
5103,0.919386
6468,0.583315
7209,0.724809
5584,0.971671
4988,0.180650
4962,0.875450
5651,0.926817
6502,0.858256
5862,0.972708
7199,0.817818
6727,0.617835
7279,0.857371
6544,0.797881
5933,0.969243
6574,0.623462
6399,0.488182
7187,0.981162
6353,0.421475
5043,1.000000
5469,0.332642
5976,0.992665
6059,0.095780
5799,0.879233
6147,0.039421
6254,0.316375
7100,0.349952
