Id,Predicted
5895,0.012226
7122,0.565642
6173,0.033099
6142,0.091963
5358,0.172986
6095,0.010795
6878,0.136670
6554,0.181554
6793,0.058207
7286,0.069822
6076,0.034435
5134,0.313988
5419,0.726402
6255,0.450355
5656,0.024967
6934,0.469311
6028,0.027473
6490,0.035869
6415,0.448725
7087,0.025010
5420,0.234202
5977,0.050263
6824,0.052933
5207,0.084081
7115,0.131681
7250,0.060414
6010,0.040538
6088,0.320961
5682,0.053130
7201,0.053130
6938,0.121576
6875,0.072533
5953,0.108735
5942,0.004859
5382,0.013961
6377,0.019530
5931,0.630996
5992,0.013313
5790,0.120416
6753,0.270980
6562,0.061566
7046,0.587579
5784,0.396311
5868,0.055429
5878,0.019162
5110,0.025969
5210,0.077413
7230,0.117099
5005,0.055520
6871,0.311333
5363,0.779643
7253,0.058103
5072,0.194201
6055,0.704049
6913,0.009549
6386,0.007987
5634,0.023350
5758,0.731426
6819,0.331566
7088,0.025884
5039,0.031827
6037,0.004735
5532,0.086552
6322,0.083415
6887,0.038093
6660,0.020361
5451,0.029448
6014,0.015026
5556,0.365185
6346,0.074826
5850,0.043804
5940,0.032536
7119,0.241453
6851,0.763767
5253,0.293013
6695,0.253775
6908,0.111779
7255,0.028217
5674,0.200379
6278,0.069971
5486,0.101763
5174,0.016391
6621,0.017500
6313,0.082696
6435,0.086724
6970,0.024375
6310,0.081011
5932,0.281424
6877,0.041473
6763,0.447766
7085,0.337657
7049,0.017254
6959,0.125142
5214,0.022847
6350,0.089909
5063,0.933888
5041,0.025390
6942,0.012385
5086,0.024846
5270,0.074063
6705,0.032860
7051,0.188254
6758,0.110916
6249,0.112055
5808,0.030709
5377,0.022106
5446,0.020880
5856,0.122758
7001,0.043367
4986,0.331586
6677,0.095836
6665,0.007434
5817,0.502037
6984,0.046945
6541,0.012447
5117,0.054458
6097,0.013205
5389,0.291816
7219,0.012670
6338,0.067431
6922,0.115643
5367,0.115643
5638,0.288840
5830,0.023437
5338,0.330597
6007,0.073540
6612,0.462409
5718,0.008172
6104,0.076976
5229,0.068751
5963,0.081011
5206,0.044447
6625,0.665657
4990,0.022106
6641,0.107745
5369,0.145356
6196,0.082696
5236,0.046129
5719,0.100188
5643,0.146477
7050,0.131785
6355,0.032924
6688,0.017118
6239,0.305527
5531,0.057657
6113,0.016458
7181,0.109856
6118,0.008112
7264,0.081011
5343,0.021428
5051,0.051395
5779,0.047542
6605,0.064984
6655,0.262319
6534,0.117526
5681,0.117011
6607,0.021245
6242,0.120864
7242,0.026556
7277,0.017315
6675,0.020094
5398,0.066461
5956,0.018097
5731,0.708632
6437,0.168842
6956,0.075944
5447,0.327235
5973,0.200870
6075,0.049230
5281,0.028012
5103,0.014399
6468,0.026356
7209,0.896065
5584,0.004440
4988,0.729311
4962,0.020280
5651,0.021100
6502,0.020280
5862,0.009869
7199,0.022008
6727,0.200060
7279,0.059116
6544,0.030231
5933,0.063234
6574,0.063078
6399,0.010542
7187,0.014056
6353,0.097100
5043,0.020392
5469,0.653129
5976,0.584746
6059,0.051486
5799,0.092561
6147,0.471491
6254,0.400970
7100,0.056770
7147,0.748502
7037,0.024568
5909,0.027559
5782,0.138465
6237,0.670952
6552,0.026920
7067,0.024502
5320,0.260504
5930,0.026189
6486,0.085245
5245,0.105804
6643,0.012033
5260,0.088649
5569,0.196798
7110,0.103939
7139,0.034479
6791,0.112752
5360,0.012278
5287,0.074490
6553,0.029828
7072,0.019243
6044,0.026920
5332,0.041490
6866,0.026160
6633,0.028488
6926,0.016726
6442,0.024362
5889,0.084742
5765,0.157275
5124,0.022209
5491,0.662061
6730,0.054528
7151,0.025660
5140,0.204008
7171,0.011933
6568,0.030168
6861,0.138540
6855,0.017810
7129,0.102893
5384,0.038641
6859,0.057243
5772,0.072008
5665,0.036487
6495,0.033032
5061,0.026522
6948,0.324402
5773,0.687708
6052,0.086759
6682,0.834414
6083,0.515514
6962,0.593194
5158,0.354143
6464,0.098719
5172,0.069266
5582,0.012842
6508,0.030672
4968,0.028997
6136,0.111503
6235,0.006469
6632,0.020192
7195,0.141981
5525,0.106257
6320,0.074662
6766,0.013102
6872,0.258538
5906,0.024474
7172,0.015026
6571,0.016983
5616,0.030120
6470,0.014493
6312,0.024479
5147,0.125290
5501,0.024352
6436,0.230978
5699,0.028012
5313,0.024602
6234,0.013036
6569,0.055429
7202,0.120158
5683,0.126410
5034,0.019457
5435,0.098730
5815,0.030255
5589,0.296270
6746,0.208657
6790,0.027495
6857,0.004833
6450,0.015377
7221,0.440741
5527,0.083765
5620,0.157548
7167,0.023082
6215,0.027261
5823,0.008579
6207,0.012288
6932,0.017220
5669,0.067970
5154,0.146062
7168,0.048354
5585,0.181749
6539,0.011982
7200,0.036642
5015,0.030231
5042,0.108392
5774,0.314044
6357,0.013177
5354,0.033416
6054,0.209890
7295,0.105526
5365,0.383339
6755,0.094071
5991,0.686494
7035,0.016090
5893,0.018628
7164,0.051687
5304,0.015543
5561,0.062032
5520,0.006091
5241,0.321189
7096,0.048207
6078,0.013313
5046,0.147855
5334,0.025380
6969,0.011383
6821,0.013099
5760,0.022634
5614,0.050392
7091,0.117448
5698,0.025042
5169,0.013383
7294,0.029475
5318,0.663209
5368,0.065186
6923,0.065186
5463,0.029299
5265,0.138042
6321,0.195878
5226,0.289871
6868,0.123264
4967,0.740904
5293,0.015987
5865,0.038323
5841,0.017576
5526,0.009757
6852,0.013414
6469,0.022277
6168,0.027882
7292,0.023831
5036,0.278173
5644,0.016655
6856,0.848306
5428,0.063644
5027,0.016587
4989,0.361416
5221,0.133141
6402,0.044385
5346,0.057720
6748,0.476808
