Id,Predicted
5895,0.054987
7122,0.170657
6173,0.127779
6142,0.139147
5358,0.156097
6095,0.039301
6878,0.087265
6554,0.116203
6793,0.172651
7286,0.164004
6076,0.190143
5134,0.128133
5419,0.251229
6255,0.145802
5656,0.167780
6934,0.202013
6028,0.136921
6490,0.264578
6415,0.097150
7087,0.067584
5420,0.213000
5977,0.111320
6824,0.033642
5207,0.218537
7115,0.225392
7250,0.030026
6010,0.000000
6088,0.115042
5682,0.000000
7201,0.000000
6938,0.195237
6875,0.031552
5953,0.000000
5942,0.168671
5382,0.059645
6377,0.045161
5931,0.217008
5992,0.000000
5790,0.085369
6753,0.028944
6562,0.066716
7046,0.229130
5784,0.279321
5868,0.052906
5878,0.208953
5110,0.189532
5210,0.209773
7230,0.099927
5005,0.124216
6871,0.154741
5363,0.127951
7253,0.025265
5072,0.136663
6055,0.107270
6913,0.091100
6386,0.088241
5634,0.147332
5758,0.261687
6819,0.044153
7088,0.152073
5039,0.187696
6037,0.214960
5532,0.062829
6322,0.194609
6887,0.236182
6660,0.075452
5451,0.169444
6014,0.135243
5556,0.197506
6346,0.070300
5850,0.028098
5940,0.084399
7119,0.023602
6851,0.145292
5253,0.152582
6695,0.076587
6908,0.117685
7255,0.143209
5674,0.100420
6278,0.158177
5486,0.131180
5174,0.060073
6621,0.175347
6313,0.116000
6435,0.038506
6970,0.160634
6310,0.069211
5932,0.073005
6877,0.088492
6763,0.059354
7085,0.129248
7049,0.134719
6959,0.188069
5214,0.053880
6350,0.142155
5063,0.069882
5041,0.076124
6942,0.148561
5086,0.117979
5270,0.123635
6705,0.105537
7051,0.062907
6758,0.193327
6249,0.239159
5808,0.198540
5377,0.105952
5446,0.093292
5856,0.160064
7001,0.123825
4986,0.229927
6677,0.267076
6665,0.064203
5817,0.073907
6984,0.178908
6541,0.141312
5117,0.062589
6097,0.129800
5389,0.029729
7219,0.099300
6338,0.201450
6922,0.226559
5367,0.225724
5638,0.214509
5830,0.078335
5338,0.103286
6007,0.078768
6612,0.142100
5718,0.082601
6104,0.113677
5229,0.167131
5963,0.113638
5206,0.140628
6625,0.094767
4990,0.127605
6641,0.134619
5369,0.121805
6196,0.084594
5236,0.111418
5719,0.268723
5643,0.158192
7050,0.209881
6355,0.216119
6688,0.115325
6239,0.221135
5531,0.097836
6113,0.264102
7181,0.174178
6118,0.147181
7264,0.068566
5343,0.064079
5051,0.078421
5779,0.058546
6605,0.163234
6655,0.163908
6534,0.091500
5681,0.056647
6607,0.177332
6242,0.095724
7242,0.075922
7277,0.081992
6675,0.088734
5398,0.164292
5956,0.160832
5731,0.130826
6437,0.073103
6956,0.160793
5447,0.111482
5973,0.112079
6075,0.062324
5281,0.179204
5103,0.094569
6468,0.181413
7209,0.127195
5584,0.067069
4988,0.216441
4962,0.140345
5651,0.071704
6502,0.145212
5862,0.153329
7199,0.141777
6727,0.199459
7279,0.056972
6544,0.103539
5933,0.065029
6574,0.025227
6399,0.110895
7187,0.061115
6353,0.091165
5043,0.116634
5469,0.393965
5976,0.073734
6059,0.173144
5799,0.129506
6147,0.175503
6254,0.170210
7100,0.185603
7147,0.159619
7037,0.179687
5909,0.123570
5782,0.059553
6237,0.196299
6552,0.169130
7067,0.088000
5320,0.155409
5930,0.056129
6486,0.197891
5245,0.190995
6643,0.062392
5260,0.114518
5569,0.126292
7110,0.106050
7139,0.170453
6791,0.282446
5360,0.103791
5287,0.057297
6553,0.262372
7072,0.081950
6044,0.187649
5332,0.056424
6866,0.228748
6633,0.078553
6926,0.071067
6442,0.133321
5889,0.090446
5765,0.000000
5124,0.140808
5491,0.294488
6730,0.263564
7151,0.125561
5140,0.149398
7171,0.083631
6568,0.171297
6861,0.137807
6855,0.113997
7129,0.178880
5384,0.169752
6859,0.136319
5772,0.063350
5665,0.072960
6495,0.061314
5061,0.182153
6948,0.125226
5773,0.095258
6052,0.118176
6682,0.181307
6083,0.127796
6962,0.163255
5158,0.110936
6464,0.042702
5172,0.161888
5582,0.000000
6508,0.230602
4968,0.227912
6136,0.160411
6235,0.070126
6632,0.166319
7195,0.109318
5525,0.157913
6320,0.163982
6766,0.066831
6872,0.258171
5906,0.184458
7172,0.047316
6571,0.075481
5616,0.253570
6470,0.121164
6312,0.077835
5147,0.216681
5501,0.092730
6436,0.131684
5699,0.083334
5313,0.074998
6234,0.044710
6569,0.081783
7202,0.106546
5683,0.111541
5034,0.068594
5435,0.103704
5815,0.104978
5589,0.208430
6746,0.155894
6790,0.052970
6857,0.163720
6450,0.259545
7221,0.238609
5527,0.150952
5620,0.027550
7167,0.076253
6215,0.061185
5823,0.122087
6207,0.169790
6932,0.058897
5669,0.000000
5154,0.154240
7168,0.143748
5585,0.159797
6539,0.083318
7200,0.072048
5015,0.221546
5042,0.104914
5774,0.108966
6357,0.106831
5354,0.128945
6054,0.276435
7295,0.163899
5365,0.200271
6755,0.128002
5991,0.105821
7035,0.137285
5893,0.195373
7164,0.136173
5304,0.086933
5561,0.071512
5520,0.102489
5241,0.128886
7096,0.162615
6078,0.115675
5046,0.220883
5334,0.136484
6969,0.033134
6821,0.204999
5760,0.054901
5614,0.172904
7091,0.117198
5698,0.149761
5169,0.118389
7294,0.065796
5318,0.232693
5368,0.138241
6923,0.138400
5463,0.078736
5265,0.077860
6321,0.029170
5226,0.151140
6868,0.104455
4967,0.169556
5293,0.155142
5865,0.102812
5841,0.060640
5526,0.076105
6852,0.153491
6469,0.027432
6168,0.048469
7292,0.190683
5036,0.128175
5644,0.234375
6856,0.190383
5428,0.151646
5027,0.146609
4989,0.102398
5221,0.042830
6402,0.104952
5346,0.207332
6748,0.165865
