Id,Predicted
5895,0.995784
7122,0.241000
6173,0.945394
6142,0.981515
5358,0.777000
6095,0.985000
6878,0.830890
6554,0.827410
6793,0.916654
7286,0.948848
6076,0.940737
5134,0.922508
5419,0.494561
6255,0.728020
5656,0.954005
6934,0.621005
6028,0.995784
6490,0.884324
6415,0.854522
7087,0.988284
5420,0.860833
5977,0.869435
6824,0.580110
5207,0.889000
7115,0.766333
7250,0.965116
6010,0.860133
6088,0.698818
5682,0.957000
7201,0.957000
6938,0.955936
6875,0.861670
5953,0.931083
5942,0.986894
5382,0.968490
6377,0.972657
5931,0.557115
5992,0.985000
5790,0.843053
6753,0.874479
6562,0.889585
7046,0.461364
5784,0.733333
5868,0.888222
5878,0.961000
5110,0.932807
5210,0.945603
7230,0.919067
5005,0.957758
6871,0.747111
5363,0.224333
7253,0.961833
5072,0.913527
6055,0.475497
6913,0.908762
6386,0.967061
5634,0.961667
5758,0.317500
6819,0.728567
7088,0.970515
5039,0.963140
6037,0.950307
5532,0.974167
6322,0.962886
6887,0.906011
6660,0.967330
5451,0.956803
6014,0.977894
5556,0.608561
6346,0.922545
5850,0.943740
5940,0.989492
7119,0.924936
6851,0.255000
5253,0.679439
6695,0.809800
6908,0.775867
7255,0.941799
5674,0.814542
6278,0.809048
5486,0.879412
5174,0.960227
6621,0.947429
6313,0.920197
6435,0.942463
6970,0.935783
6310,0.905830
5932,0.735554
6877,0.874461
6763,0.697333
7085,0.536227
7049,0.959894
6959,0.565667
5214,0.959270
6350,0.938584
5063,0.263667
5041,0.977727
6942,0.990000
5086,0.931061
5270,0.948284
6705,0.938663
7051,0.854555
6758,0.738629
6249,0.824618
5808,0.989608
5377,0.950951
5446,0.965206
5856,0.515595
7001,0.959000
4986,0.903918
6677,0.832500
6665,0.978333
5817,0.252738
6984,0.862268
6541,0.999394
5117,0.968333
6097,0.963000
5389,0.835724
7219,0.942958
6338,0.894784
6922,0.898333
5367,0.891667
5638,0.723571
5830,0.927348
5338,0.355603
6007,0.970830
6612,0.622905
5718,0.990000
6104,0.952201
5229,0.916500
5963,0.867088
5206,0.883227
6625,0.660902
4990,0.990394
6641,0.903783
5369,0.848894
6196,0.958894
5236,0.958103
5719,0.909977
5643,0.796833
7050,0.888881
6355,0.917795
6688,0.935040
6239,0.724915
5531,0.960000
6113,0.934618
7181,0.769384
6118,0.943619
7264,0.955830
5343,0.973775
5051,0.946618
5779,0.898557
6605,0.944252
6655,0.885974
6534,0.847227
5681,0.970722
6607,0.923786
6242,0.788667
7242,0.933140
7277,0.940833
6675,0.977727
5398,0.871952
5956,0.934403
5731,0.504460
6437,0.671806
6956,0.899696
5447,0.298667
5973,0.884040
6075,0.599333
5281,0.840524
5103,0.935333
6468,0.949795
7209,0.396333
5584,0.985000
4988,0.406793
4962,0.965833
5651,0.976123
6502,0.965833
5862,0.992500
7199,0.956000
6727,0.594890
7279,0.957894
