Id,Predicted
5895,0.945675
7122,0.492381
6173,0.874352
6142,0.938506
5358,0.886351
6095,0.951008
6878,0.874200
6554,0.869195
6793,0.834426
7286,0.859822
6076,0.882919
5134,0.833500
5419,0.689115
6255,0.764509
5656,0.828781
6934,0.676100
6028,0.925448
6490,0.933960
6415,0.828646
7087,0.908053
5420,0.868215
5977,1.000000
6824,0.003297
5207,0.927096
7115,0.901302
7250,0.955759
6010,0.928253
6088,0.865736
5682,0.912629
7201,0.919257
6938,0.929779
6875,0.934699
5953,0.963333
5942,1.000000
5382,0.911244
6377,0.821797
5931,0.915572
5992,0.892110
5790,0.936614
6753,0.856464
6562,0.886683
7046,0.665831
5784,0.895884
5868,0.911587
5878,0.834743
5110,0.935579
5210,0.914657
7230,0.915985
5005,0.913663
6871,0.902938
5363,0.131706
7253,0.779591
5072,0.844312
6055,0.768106
6913,0.888019
6386,0.918329
5634,0.866852
5758,0.738228
6819,0.962678
7088,0.874593
5039,0.899800
6037,0.945547
5532,0.815538
6322,0.944437
6887,0.898425
6660,0.869699
5451,0.930683
6014,0.693013
5556,0.627506
6346,0.941582
5850,0.937027
5940,0.916507
7119,0.821403
6851,0.645423
5253,0.860254
6695,0.926847
6908,0.895523
7255,0.917858
5674,0.876136
6278,0.897019
5486,0.813007
5174,0.896066
6621,0.950941
6313,0.895285
6435,0.936628
6970,0.939372
6310,0.941788
5932,0.890519
6877,0.953486
6763,0.793660
7085,0.741622
7049,0.832191
6959,0.031425
5214,0.891214
6350,0.967965
5063,0.708174
5041,0.923750
6942,0.913760
5086,0.882518
5270,0.874283
6705,0.941783
7051,0.834815
6758,0.917412
6249,0.790077
5808,0.929556
5377,0.887222
5446,0.910670
5856,0.335457
7001,0.923060
4986,0.856337
6677,0.908469
6665,0.914984
5817,0.299926
6984,0.919769
6541,0.848130
5117,0.767190
6097,0.895948
5389,0.941522
7219,0.955234
6338,0.764871
6922,0.874863
5367,0.875821
5638,0.882597
5830,0.869468
5338,0.007474
6007,0.874235
6612,0.679450
5718,0.920359
6104,0.852811
5229,0.861966
5963,0.928851
5206,0.804020
6625,0.762413
4990,0.934747
6641,0.920355
5369,0.927522
6196,0.918961
5236,0.923878
5719,0.912103
5643,0.786283
7050,0.920199
6355,0.898160
6688,0.898998
6239,0.797767
5531,0.913475
6113,0.930554
7181,0.760575
6118,0.914905
7264,0.824205
5343,0.912370
5051,1.000000
5779,0.938532
6605,0.880818
6655,0.849033
6534,0.698895
5681,0.913039
6607,0.893157
6242,0.952467
7242,0.927037
7277,0.823420
6675,0.955027
5398,0.901033
5956,0.862467
5731,0.783378
6437,0.881341
6956,0.882961
5447,0.000000
5973,0.916308
6075,0.001324
5281,0.854050
5103,0.917891
6468,0.821058
7209,0.803173
5584,0.950672
4988,0.735668
4962,0.925307
5651,0.917916
6502,0.920715
5862,0.924933
7199,0.952447
6727,0.951002
7279,0.822728
6544,0.934756
5933,0.948571
6574,0.900848
6399,0.924839
7187,0.982308
6353,0.855772
5043,0.927934
5469,0.850692
5976,0.803909
6059,0.793844
5799,0.938872
6147,1.000000
6254,0.900507
7100,0.894445
7147,0.754899
7037,0.769662
5909,0.909032
5782,0.743780
6237,0.269108
6552,0.938693
7067,0.895179
5320,0.860292
5930,0.917132
6486,0.868116
5245,0.895415
6643,0.960962
5260,0.941236
5569,0.747820
7110,0.908298
7139,0.936237
6791,0.547601
5360,0.846713
5287,0.914695
6553,0.886141
7072,0.934060
6044,0.957687
5332,0.909723
6866,0.890317
6633,0.969708
6926,0.913754
6442,0.901183
5889,0.909285
5765,0.960214
5124,0.889376
5491,0.677511
6730,0.819766
7151,0.824674
5140,0.903924
7171,0.922916
6568,0.886071
6861,0.933468
6855,0.924328
7129,0.752363
5384,0.926105
6859,0.880383
5772,0.928398
5665,0.947017
6495,0.864449
5061,0.920690
6948,0.756267
5773,0.837010
6052,1.000000
6682,0.669398
6083,0.840252
6962,0.643638
5158,0.789126
6464,0.911286
5172,0.873317
5582,0.962532
6508,1.000000
4968,1.000000
6136,0.910835
6235,0.918326
6632,0.908464
7195,0.864907
5525,0.922537
6320,0.764023
6766,0.907199
6872,0.891049
5906,0.944836
7172,0.790775
6571,0.891107
5616,0.849628
6470,0.934027
6312,0.909268
5147,0.929377
5501,0.699209
6436,0.829258
5699,0.923323
5313,0.899994
6234,0.921355
6569,0.945692
7202,0.880662
5683,0.859685
5034,0.931713
5435,0.871887
5815,0.945835
5589,0.784516
6746,0.846443
6790,0.909157
6857,0.960988
6450,0.900916
7221,0.865517
5527,0.855463
5620,0.970187
7167,0.870801
6215,0.965640
5823,0.865320
6207,0.941989
6932,0.972880
5669,0.927850
5154,0.947278
7168,0.839212
5585,0.836811
6539,0.940619
7200,0.932398
5015,0.901455
5042,0.859969
5774,0.926389
6357,0.922492
5354,0.938563
6054,0.898577
7295,0.899888
5365,0.856646
6755,0.861671
5991,0.002581
7035,0.803627
5893,0.853761
7164,0.922697
5304,0.866038
5561,0.888630
5520,0.862282
5241,0.868121
7096,0.951888
6078,0.937475
5046,0.897170
5334,0.774964
6969,0.954042
6821,0.780712
5760,0.851489
5614,0.940279
7091,0.948696
5698,0.932231
5169,0.933793
7294,0.941297
5318,0.743908
5368,0.909802
6923,0.908137
5463,0.896216
5265,0.893710
6321,0.971807
5226,0.753650
6868,0.927085
4967,0.517849
5293,0.895590
5865,0.946579
5841,0.882609
5526,0.950517
6852,0.923846
6469,0.952320
6168,0.751982
7292,0.932854
5036,0.924058
5644,0.854302
6856,0.859080
5428,0.913969
5027,0.916567
4989,0.865925
5221,0.920002
6402,0.932694
5346,0.904899
6748,0.870282
