Id,Predicted
5895,0.989963
7122,0.045660
6173,0.986770
6142,0.825019
5358,0.533158
6095,0.996393
6878,0.863281
6554,0.747655
6793,0.787578
7286,0.834364
6076,0.886690
5134,0.688079
5419,0.299301
6255,0.480545
5656,0.974252
6934,0.520601
6028,0.960610
6490,0.886115
6415,0.743342
7087,0.939770
5420,0.313815
5977,0.971591
6824,0.523069
5207,0.844780
7115,0.758978
7250,0.988888
6010,0.946966
6088,0.444432
5682,0.981564
7201,0.982593
6938,0.643226
6875,0.973231
5953,0.972029
5942,0.996834
5382,0.996649
6377,0.994728
5931,0.413963
5992,0.986048
5790,0.931711
6753,0.748601
6562,0.784109
7046,0.222269
5784,0.641241
5868,0.993691
5878,0.940068
5110,0.917697
5210,0.950703
7230,0.899509
5005,0.669378
6871,0.250308
5363,0.049322
7253,0.965226
5072,0.988740
6055,0.415203
6913,0.992949
6386,0.995534
5634,0.992712
5758,0.228332
6819,0.747949
7088,0.869270
5039,0.870481
6037,0.994841
5532,0.960675
6322,0.970718
6887,0.894033
6660,0.972714
5451,0.970654
6014,0.989985
5556,0.521913
6346,0.943211
5850,0.956155
5940,0.991218
7119,0.960210
6851,0.018684
5253,0.754517
6695,0.817428
6908,0.582951
7255,0.864824
5674,0.326850
6278,0.750051
5486,0.948799
5174,0.988403
6621,0.987345
6313,0.947720
6435,0.968051
6970,0.975592
6310,0.965830
5932,0.421394
6877,0.869974
6763,0.689619
7085,0.470279
7049,0.986586
6959,0.223562
5214,0.922683
6350,0.981811
5063,0.037891
5041,0.988639
6942,0.993076
5086,0.965223
5270,0.885636
6705,0.964960
7051,0.824479
6758,0.657855
6249,0.773259
5808,0.986117
5377,0.965112
5446,0.827062
5856,0.205109
7001,0.955762
4986,0.781215
6677,0.788587
6665,0.993672
5817,0.061689
6984,0.939031
6541,0.987788
5117,0.970152
6097,0.996483
5389,0.716670
7219,0.977923
6338,0.824875
6922,0.940456
5367,0.945699
5638,0.665282
5830,0.979415
5338,0.046713
6007,0.990662
6612,0.348353
5718,0.996832
6104,0.874761
5229,0.933066
5963,0.942882
5206,0.918473
6625,0.131409
4990,0.971637
6641,0.874255
5369,0.965508
6196,0.977158
5236,0.979358
5719,0.909271
5643,0.980310
7050,0.952742
6355,0.439754
6688,0.972139
6239,0.589178
5531,0.970872
6113,0.976059
7181,0.972108
6118,0.968885
7264,0.977641
5343,0.971474
5051,0.851570
5779,0.870192
6605,0.755511
6655,0.664803
6534,0.853863
5681,0.439176
6607,0.955674
