Id,Predicted
5895,0.892857
7122,0.214286
6173,0.892857
6142,0.821429
5358,0.646617
6095,0.928571
6878,0.821429
6554,0.571429
6793,0.714286
7286,0.714286
6076,0.777644
5134,0.612466
5419,0.618114
6255,0.428571
5656,0.785714
6934,0.398065
6028,0.892857
6490,0.750000
6415,0.607143
7087,0.839286
5420,0.714286
5977,0.607143
6824,0.571429
5207,0.750000
7115,0.642857
7250,0.857143
6010,0.750000
6088,0.535714
5682,0.934524
7201,0.934524
6938,0.892857
6875,0.833333
5953,0.857143
5942,0.928571
5382,0.906832
6377,0.892857
5931,0.500000
5992,1.000000
5790,0.642857
6753,0.678571
6562,0.750000
7046,0.362069
5784,0.627969
5868,1.000000
5878,0.964286
5110,0.892857
5210,0.785714
7230,0.634524
5005,0.939850
6871,0.468045
5363,0.321429
7253,0.928571
5072,0.938492
6055,0.444751
6913,0.857143
6386,0.857143
5634,0.964286
5758,0.500000
6819,0.527778
7088,0.857143
5039,0.785714
6037,0.964286
5532,0.964286
6322,0.818903
6887,0.731399
6660,0.920635
5451,0.780068
6014,0.892857
5556,0.679622
6346,0.892857
5850,0.785714
5940,0.964286
7119,0.964286
6851,0.160714
5253,0.535714
6695,0.642857
6908,0.503759
7255,0.714286
5674,0.592857
6278,0.678571
5486,0.765873
5174,0.857143
6621,0.807143
6313,0.733193
6435,0.920635
6970,0.933036
6310,0.849206
5932,0.553571
6877,0.849206
6763,0.583333
7085,0.714286
7049,0.821429
6959,0.433983
5214,0.928571
6350,0.928571
5063,0.321429
5041,0.964286
6942,0.892857
5086,0.864232
5270,0.844212
6705,0.892857
7051,0.649344
6758,0.571429
6249,0.714286
5808,0.964286
5377,0.892857
5446,0.683983
5856,0.357143
7001,0.892857
4986,0.660714
6677,0.714286
6665,0.964286
5817,0.446429
6984,0.785714
6541,0.964286
5117,0.928571
6097,0.964286
5389,0.607143
7219,0.821429
6338,0.911765
6922,0.821429
5367,0.821429
5638,0.596429
5830,0.785714
5338,0.535714
6007,0.898810
6612,0.581349
5718,0.928571
6104,0.750000
5229,0.928571
5963,0.711844
5206,0.714286
6625,0.535714
4990,0.850564
6641,0.665106
5369,0.892857
6196,0.666973
5236,0.964286
5719,0.796620
5643,0.892857
7050,0.750000
6355,0.589286
6688,0.678571
6239,0.565783
5531,0.928571
6113,0.678571
7181,0.617063
6118,0.932331
7264,0.813492
5343,0.839286
5051,0.857143
5779,0.642857
6605,0.785714
6655,0.821429
6534,0.750000
5681,0.797619
6607,0.892857
6242,0.684524
7242,0.792857
7277,0.821429
6675,0.964286
5398,0.678571
5956,0.763680
5731,0.535714
6437,0.535714
6956,0.785714
5447,0.357143
5973,0.714286
6075,0.357143
5281,0.857143
5103,0.964286
6468,0.846289
7209,0.357143
5584,0.964286
4988,0.357143
4962,0.964286
5651,0.801587
6502,0.964286
5862,0.964286
7199,0.892857
6727,0.535714
7279,0.739146
6544,0.857143
5933,0.928571
6574,0.752381
6399,0.928571
