Id,Predicted
5895,0.989941
7122,0.432849
6173,0.969383
6142,0.932132
5358,0.803108
6095,0.990204
6878,0.892119
6554,0.772355
6793,0.937322
7286,0.931987
6076,0.968632
5134,0.682678
5419,0.237225
6255,0.448514
5656,0.976845
6934,0.485268
6028,0.971863
6490,0.961506
6415,0.488587
7087,0.970347
5420,0.795358
5977,0.957584
6824,0.940296
5207,0.924161
7115,0.857917
7250,0.933592
6010,0.943533
6088,0.714440
5682,0.941266
7201,0.941266
6938,0.875247
6875,0.940776
5953,0.836531
5942,0.995076
5382,0.988261
6377,0.982792
5931,0.401285
5992,0.986093
5790,0.839308
6753,0.766196
6562,0.951025
7046,0.405085
5784,0.584087
5868,0.944192
5878,0.985089
5110,0.968737
5210,0.926291
7230,0.896586
5005,0.956176
6871,0.772643
5363,0.199467
7253,0.937601
5072,0.798105
6055,0.258952
6913,0.988930
6386,0.991314
5634,0.980674
5758,0.260266
6819,0.684144
7088,0.975359
5039,0.967853
6037,0.995422
5532,0.905188
6322,0.925783
6887,0.974906
6660,0.975493
5451,0.972115
6014,0.984195
5556,0.570488
6346,0.908844
5850,0.939131
5940,0.970485
7119,0.748820
6851,0.293766
5253,0.730291
6695,0.757924
6908,0.875897
7255,0.968348
5674,0.843899
6278,0.948945
5486,0.899356
5174,0.979742
6621,0.984347
6313,0.916015
6435,0.867091
6970,0.977246
6310,0.909831
5932,0.702583
6877,0.968372
6763,0.624880
7085,0.624800
7049,0.981304
6959,0.861979
5214,0.977090
6350,0.898852
5063,0.057704
5041,0.977714
6942,0.988797
5086,0.973480
5270,0.931915
6705,0.958684
7051,0.853427
6758,0.901886
6249,0.874621
5808,0.978594
5377,0.976602
5446,0.975608
5856,0.878290
7001,0.966154
4986,0.744454
6677,0.889873
6665,0.991268
5817,0.514543
6984,0.952832
6541,0.986990
5117,0.956883
6097,0.987017
5389,0.713447
7219,0.988856
6338,0.938544
6922,0.880765
5367,0.880765
5638,0.701014
5830,0.980542
5338,0.688832
6007,0.909177
6612,0.497849
5718,0.993243
6104,0.918540
5229,0.928610
5963,0.873916
5206,0.954483
6625,0.391652
4990,0.977703
6641,0.873649
5369,0.775885
6196,0.916015
5236,0.952277
5719,0.886563
5643,0.893833
7050,0.890256
6355,0.968351
6688,0.984382
6239,0.684506
5531,0.938333
6113,0.985237
7181,0.836531
6118,0.991355
7264,0.913551
5343,0.972580
5051,0.958269
5779,0.950976
6605,0.930430
6655,0.722841
6534,0.877760
5681,0.881800
6607,0.983356
6242,0.866048
7242,0.969394
7277,0.979691
6675,0.977066
5398,0.927383
5956,0.982323
5731,0.302517
6437,0.776755
6956,0.921941
5447,0.636023
5973,0.736901
6075,0.944748
5281,0.972697
5103,0.990231
6468,0.970300
7209,0.099530
5584,0.996298
4988,0.242060
4962,0.983481
5651,0.978854
6502,0.983481
5862,0.989258
7199,0.979079
6727,0.799622
7279,0.949542
6544,0.977600
5933,0.928932
6574,0.967401
6399,0.990233
7187,0.991254
6353,0.919394
5043,0.975870
5469,0.308888
5976,0.463478
6059,0.948904
5799,0.902343
6147,0.490220
6254,0.529393
7100,0.942476
7147,0.223180
7037,0.974075
5909,0.986657
5782,0.870110
6237,0.320837
6552,0.972515
7067,0.976303
5320,0.759451
5930,0.962675
6486,0.905894
5245,0.912251
6643,0.989007
5260,0.900396
5569,0.820898
7110,0.885080
7139,0.960026
6791,0.885886
5360,0.991802
5287,0.951544
6553,0.977929
7072,0.976602
6044,0.972515
5332,0.963770
6866,0.973897
6633,0.969426
6926,0.980437
6442,0.983044
5889,0.928428
5765,0.787553
5124,0.978867
5491,0.371284
6730,0.936697
7151,0.972515
5140,0.790324
7171,0.986270
6568,0.967409
6861,0.905279
6855,0.982673
7129,0.915277
5384,0.962757
6859,0.940451
5772,0.921689
5665,0.970464
6495,0.968731
5061,0.968562
6948,0.689044
5773,0.290266
6052,0.915033
6682,0.226771
6083,0.456911
6962,0.535372
5158,0.817526
6464,0.892584
5172,0.977231
5582,0.988533
6508,0.971152
4968,0.972645
6136,0.883446
6235,0.991868
6632,0.984339
7195,0.858933
5525,0.912251
6320,0.930466
6766,0.984807
6872,0.756903
5906,0.971554
7172,0.984195
6571,0.982856
5616,0.963794
6470,0.988328
6312,0.983659
5147,0.863021
5501,0.971197
6436,0.768115
5699,0.972697
5313,0.971166
6234,0.988091
6569,0.949018
7202,0.879523
5683,0.873606
5034,0.978382
5435,0.900014
5815,0.972928
5589,0.760894
6746,0.912145
6790,0.972625
6857,0.996092
6450,0.986656
7221,0.630580
5527,0.952179
5620,0.830402
7167,0.972199
6215,0.970799
5823,0.990251
6207,0.988317
6932,0.983388
5669,0.931915
5154,0.886930
7168,0.953483
5585,0.812830
6539,0.988968
7200,0.969796
5015,0.969805
5042,0.891587
5774,0.691630
6357,0.990191
5354,0.965364
6054,0.777781
7295,0.875673
5365,0.555423
6755,0.939277
5991,0.260352
7035,0.983695
5893,0.979077
7164,0.945930
5304,0.981884
5561,0.930367
5520,0.992756
5241,0.642975
7096,0.959065
6078,0.986093
5046,0.827534
5334,0.973786
6969,0.987086
6821,0.984484
5760,0.978337
5614,0.946464
7091,0.902773
5698,0.973773
5169,0.986337
7294,0.966419
5318,0.320575
5368,0.925046
6923,0.925046
5463,0.972329
5265,0.899037
6321,0.794960
5226,0.720942
6868,0.876315
4967,0.286237
5293,0.982920
5865,0.957345
5841,0.980775
5526,0.989258
6852,0.988237
6469,0.977866
6168,0.967151
7292,0.980211
5036,0.703784
5644,0.984121
6856,0.195839
5428,0.933801
5027,0.983033
4989,0.620282
5221,0.860483
6402,0.957866
5346,0.938405
6748,0.605482
