Id,Predicted
5895,0.825908
7122,0.803969
6173,0.817729
6142,0.873154
5358,0.932932
6095,0.889351
6878,0.892193
6554,0.873154
6793,0.807571
7286,0.900218
6076,0.852889
5134,0.863310
5419,0.883774
6255,0.805131
5656,0.932932
6934,0.852817
6028,0.873154
6490,0.903486
6415,0.903158
7087,0.890287
5420,0.716866
5977,0.883774
6824,0.899057
5207,0.922732
7115,0.851614
7250,0.851280
6010,0.705629
6088,0.884025
5682,0.890287
7201,0.880938
6938,0.693320
6875,0.842300
5953,0.850255
5942,0.919794
5382,0.897224
6377,0.877431
5931,0.842137
5992,0.835752
5790,0.932932
6753,0.889351
6562,0.903177
7046,0.875371
5784,0.903486
5868,0.760412
5878,0.926020
5110,0.825407
5210,0.856894
7230,0.869740
5005,0.857750
6871,0.920562
5363,0.888467
7253,0.937318
5072,0.852889
6055,0.873154
6913,0.922793
6386,0.641456
5634,0.877765
5758,0.840489
6819,0.862674
7088,0.873154
5039,0.800085
6037,0.892193
5532,0.853470
6322,0.903486
6887,0.909246
6660,0.825924
5451,0.813707
6014,0.922793
5556,0.923031
6346,0.903177
5850,0.716338
5940,0.822669
7119,0.887896
6851,0.788030
5253,0.908919
6695,0.873154
6908,0.930950
7255,0.873154
5674,0.813679
6278,0.822113
5486,0.920390
5174,0.890543
6621,0.795801
6313,0.781824
6435,0.818507
6970,0.920184
6310,0.936364
5932,0.941194
6877,0.908919
6763,0.877431
7085,0.862482
7049,0.852572
6959,0.892514
5214,0.932932
6350,0.882340
5063,0.874562
5041,0.833923
6942,0.907569
5086,0.900215
5270,0.826815
6705,0.873665
7051,0.877431
6758,0.915842
6249,0.922970
5808,0.922732
5377,0.880454
5446,0.889351
5856,0.782138
7001,0.829652
4986,0.903486
6677,0.904448
6665,0.865318
5817,0.851280
6984,0.883774
6541,0.850329
5117,0.877431
6097,0.856657
5389,0.890287
7219,0.889351
6338,0.890568
6922,0.890568
5367,0.890568
5638,0.903486
5830,0.903158
5338,0.887892
6007,0.873869
6612,0.880454
5718,0.891283
6104,0.761896
5229,0.920184
5963,0.926020
5206,0.880454
6625,0.878773
4990,0.865318
6641,0.901072
5369,0.932004
6196,0.872345
5236,0.829652
5719,0.890568
5643,0.785858
7050,0.813679
6355,0.821901
6688,0.909054
6239,0.761659
5531,0.926020
6113,0.903486
7181,0.923031
6118,0.855147
7264,0.890413
5343,0.936364
5051,0.814380
5779,0.823112
6605,0.865318
6655,0.849308
6534,0.808197
5681,0.907329
6607,0.849946
6242,0.843139
7242,0.915372
7277,0.936364
6675,0.847377
5398,0.776511
5956,0.871740
5731,0.847479
6437,0.918692
6956,0.727538
5447,0.852149
5973,0.842520
6075,0.851132
5281,0.802916
5103,0.917005
6468,0.922793
7209,0.903158
5584,0.851061
4988,0.881619
4962,0.902575
5651,0.895835
6502,0.929048
5862,0.875356
7199,0.780506
6727,0.892193
7279,0.609706
6544,0.875235
5933,0.890287
6574,0.861993
6399,0.926208
7187,0.881235
6353,0.851280
5043,0.829652
5469,0.918091
5976,0.805131
6059,0.736993
5799,0.884572
6147,0.824329
6254,0.914204
7100,0.736511
7147,0.878176
7037,0.923031
5909,0.918692
5782,0.887273
6237,0.922662
6552,0.879923
7067,0.827554
5320,0.936898
5930,0.903177
6486,0.918215
5245,0.815110
6643,0.891951
5260,0.752001
5569,0.885336
7110,0.909246
7139,0.937028
6791,0.883774
5360,0.808736
5287,0.913374
6553,0.797644
7072,0.872737
6044,0.872737
5332,0.919897
6866,0.768102
6633,0.821856
6926,0.760211
6442,0.817729
5889,0.856657
5765,0.833051
5124,0.849310
5491,0.903561
6730,0.903486
7151,0.841497
5140,0.871740
7171,0.850314
6568,0.825924
6861,0.873154
6855,0.890171
7129,0.922793
5384,0.874069
6859,0.826616
5772,0.873154
5665,0.890287
6495,0.912231
5061,0.837880
6948,0.922793
5773,0.718462
6052,0.925029
6682,0.926020
6083,0.825151
6962,0.923031
5158,0.873123
6464,0.865005
5172,0.824456
5582,0.789198
6508,0.861799
4968,0.833255
6136,0.919903
6235,0.873154
6632,0.755008
7195,0.903158
5525,0.749098
6320,0.886299
6766,0.922793
6872,0.809673
5906,0.865333
7172,0.903177
6571,0.740709
5616,0.870780
6470,0.856485
6312,0.920597
5147,0.922793
5501,0.922793
6436,0.883870
5699,0.826709
5313,0.925029
6234,0.852909
6569,0.861330
7202,0.875235
5683,0.875235
5034,0.892582
5435,0.873154
5815,0.905228
5589,0.825914
6746,0.821901
6790,0.918692
6857,0.906477
6450,0.923031
7221,0.829188
5527,0.916786
5620,0.852102
7167,0.857058
6215,0.814288
5823,0.922793
6207,0.864390
6932,0.861799
5669,0.857602
5154,0.752001
7168,0.891423
5585,0.704878
6539,0.892193
7200,0.906193
5015,0.932932
5042,0.873154
5774,0.924730
6357,0.851132
5354,0.873154
6054,0.909246
7295,0.908200
5365,0.812949
6755,0.821901
5991,0.873154
7035,0.877049
5893,0.798046
7164,0.877484
5304,0.844759
5561,0.817349
5520,0.888467
5241,0.716526
7096,0.884887
6078,0.855789
5046,0.906827
5334,0.922793
6969,0.889234
6821,0.923031
5760,0.906454
5614,0.760211
7091,0.876739
5698,0.821901
5169,0.774732
7294,0.906550
5318,0.828197
5368,0.813965
6923,0.813965
5463,0.892514
5265,0.609698
6321,0.799791
5226,0.825151
6868,0.833221
4967,0.803969
5293,0.852817
5865,0.829652
5841,0.955589
5526,0.821495
6852,0.913109
6469,0.854675
6168,0.887273
7292,0.695649
5036,0.926020
5644,0.890568
6856,0.878669
5428,0.844640
5027,0.861799
4989,0.873154
5221,0.875116
6402,0.866764
5346,0.892193
6748,0.812949
