Id,Predicted
5895,0.849037
7122,0.847142
6173,0.849772
6142,0.852157
5358,0.848229
6095,0.849799
6878,0.849410
6554,0.879893
6793,0.841460
7286,0.847876
6076,0.848178
5134,0.847966
5419,0.916410
6255,0.854173
5656,0.849136
6934,0.848508
6028,0.866256
6490,0.847921
6415,0.903944
7087,0.849019
5420,0.846949
5977,0.848085
6824,0.864381
5207,0.849370
7115,0.848063
7250,0.849220
6010,0.848806
6088,0.847856
5682,0.850596
7201,0.851229
6938,0.856193
6875,0.848302
5953,0.855332
5942,0.859572
5382,0.850022
6377,0.948754
5931,0.848580
5992,0.853106
5790,0.848128
6753,0.849657
6562,0.969920
7046,0.848548
5784,0.856801
5868,0.855935
5878,0.848630
5110,0.848821
5210,0.848060
7230,0.849309
5005,0.847996
6871,0.847274
5363,0.840867
7253,0.853022
5072,0.850116
6055,0.884048
6913,0.896396
6386,0.857187
5634,0.847268
5758,0.838800
6819,0.852689
7088,0.853640
5039,0.850394
6037,0.851820
5532,0.865650
6322,0.850471
6887,0.847369
6660,0.853831
5451,0.848525
6014,0.929926
5556,0.910576
6346,0.976219
5850,0.862247
5940,0.849188
7119,0.850551
6851,0.852885
5253,0.847890
6695,0.864680
6908,0.850096
7255,0.852451
5674,0.851132
6278,0.850357
5486,0.887248
5174,0.875457
6621,0.848684
6313,0.851360
6435,0.849272
6970,0.847830
6310,0.902621
5932,0.850005
6877,0.853236
6763,0.957455
7085,0.852412
7049,0.856881
6959,0.864925
5214,0.848084
6350,0.892636
5063,0.863838
5041,0.870199
6942,0.848030
5086,0.851066
5270,0.849452
6705,0.860821
7051,0.955844
6758,0.853179
6249,0.852074
5808,0.850635
5377,0.857694
5446,0.848755
5856,0.847333
7001,0.854029
4986,0.849195
6677,0.847821
6665,0.847896
5817,0.848760
6984,0.848691
6541,0.848294
5117,0.968836
6097,0.851097
5389,0.850505
7219,0.848657
6338,0.966180
6922,0.850106
5367,0.849888
5638,0.848460
5830,0.884216
5338,0.849469
6007,0.856681
6612,0.854871
5718,0.850291
6104,0.851986
5229,0.847920
5963,0.853794
5206,0.859493
6625,0.889127
4990,0.849313
6641,0.848614
5369,0.847641
6196,0.850793
5236,0.872427
5719,0.836767
5643,0.861620
7050,0.856228
6355,0.847586
6688,0.848344
6239,0.849666
5531,0.848103
6113,0.848401
7181,0.842776
6118,0.860071
7264,0.980079
5343,0.944622
5051,0.898571
5779,0.851336
6605,0.847875
6655,0.850526
6534,0.940485
5681,0.848460
6607,0.848918
6242,0.848597
7242,0.849184
7277,0.834410
6675,0.849993
5398,0.845261
5956,0.849783
5731,0.905396
6437,0.848695
6956,0.848639
5447,0.733691
5973,0.847288
6075,0.848456
5281,0.849278
5103,0.850414
6468,0.881546
7209,0.890611
5584,0.853383
4988,0.845758
4962,0.848208
5651,0.850516
6502,0.848354
5862,0.863954
7199,0.847857
6727,0.848896
7279,0.854015
6544,0.848806
5933,0.851601
6574,0.850030
6399,0.848136
7187,0.858873
6353,0.848640
5043,0.890575
5469,0.847924
5976,0.907876
6059,0.850070
5799,0.854564
6147,0.863344
6254,0.852018
7100,0.857458
7147,0.848065
7037,0.883547
5909,0.848039
5782,0.972785
6237,0.870070
6552,0.848569
7067,0.848863
5320,0.849740
5930,0.911841
6486,0.848542
5245,0.850959
6643,0.854554
5260,0.851553
5569,0.919486
7110,0.848079
7139,0.851844
6791,0.822006
5360,0.849101
5287,0.848915
6553,0.847609
7072,0.848402
6044,0.855104
5332,0.941844
6866,0.853870
6633,0.847769
6926,0.879842
6442,0.850442
5889,0.857123
5765,0.853507
5124,0.848502
5491,0.887454
6730,0.843984
7151,0.848762
5140,0.850272
7171,0.854346
6568,0.851452
6861,0.851704
6855,0.848423
7129,0.917334
5384,0.847995
6859,0.856606
5772,0.871051
5665,0.849499
6495,0.849092
5061,0.847829
6948,0.908133
5773,0.846677
6052,0.846963
6682,0.848547
6083,0.853709
6962,0.968866
5158,0.854263
6464,0.850842
5172,0.848466
5582,0.859539
6508,0.854274
4968,0.854780
6136,0.846727
6235,0.863183
6632,0.846926
7195,0.868284
5525,0.849745
6320,0.848148
6766,0.906638
6872,0.851426
5906,0.861464
7172,0.936981
6571,0.850470
5616,0.847417
6470,0.853586
6312,0.849406
5147,0.849973
5501,0.928111
6436,0.927235
5699,0.851271
5313,0.848618
6234,0.943692
6569,0.850325
7202,0.848523
5683,0.847422
5034,0.852900
5435,0.863292
5815,0.849952
5589,0.853831
6746,0.850216
6790,0.848678
6857,0.852509
6450,0.857538
7221,0.848990
5527,0.849297
5620,0.859318
7167,0.853761
6215,0.849606
5823,0.973788
6207,0.849739
6932,0.850462
5669,0.851104
5154,0.849326
7168,0.851045
5585,0.848030
6539,0.848882
7200,0.849808
5015,0.852854
5042,0.860284
5774,0.847827
6357,0.849070
5354,0.857484
6054,0.841502
7295,0.868546
5365,0.859727
6755,0.849103
5991,0.844238
7035,0.851319
5893,0.848910
7164,0.862026
5304,0.854140
5561,0.901430
5520,0.853787
5241,0.850653
7096,0.847407
6078,0.851200
5046,0.848591
5334,0.957690
6969,0.849316
6821,0.854528
5760,0.984002
5614,0.854106
7091,0.852353
5698,0.849788
5169,0.855214
7294,0.851028
5318,0.851205
5368,0.850041
6923,0.849988
5463,0.847973
5265,0.850416
6321,0.857284
5226,0.849046
6868,0.848210
4967,0.858240
5293,0.848939
5865,0.862300
5841,0.852961
5526,0.852084
6852,0.848323
6469,0.850169
6168,0.982241
7292,0.855542
5036,0.848166
5644,0.854931
6856,0.849582
5428,0.843030
5027,0.848459
4989,0.874108
5221,0.851335
6402,0.849279
5346,0.855546
6748,0.854869
